Minerds Bell Consultancy Group - Analysis of North FUA - 07-11-2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Product,MyNorth Investment,MyNorth Lifetime Income,MyNorth Pension,MyNorth Super,North Investment,North Personal Pension,North Personal Superannuation,Total,,
,,,,,,,,,,,
Cash / TDs,Investment ,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA $,% of total FUA
,North Professional Conservative,182219.64,,135126.81,30860.98,,7473.44,,355680.87,,
,North Professional Growth,38285.66,,195459.27,1492720.8,,97238.6,2812792.95,4636497.28,,
,North Professional High Growth,10254.14,,,1222732.46,,98659.56,847676.03,2179322.19,,
,North Professional Moderately Conservative,23929.81,,1915284.42,24820.61,,815197.05,84479.08,2863710.97,,
,Northern Star Resources Ltd Ordinary Fully Paid,,,,1291.21,,,,1291.21,,
,Orbis Global Equity Fund,153352.07,,503175.25,193226.85,,18437.9,33042.46,901234.53,,
,Origin Energy Limited Ordinary Fully Paid,,,27067.98,7056.54,,,,34124.52,,
,Pendal Australian Equity Fund,,,59333.7,,,,,59333.7,,
,Pendal Focus Australian Equities Fund,,,18049.21,82391.28,,,5135.92,105576.41,,
,Pendal Horizon Sustainable Australian Share Fund,55052.12,,,36866.44,,,29789.43,121707.99,,
,Pendal Multi Asset Target Return Fund,,,,289.26,,,,289.26,,
,Pendal Short Term Income Securities Trust,,,9826.6,87842.18,,,1203.57,98872.35,,
,Pendal Smaller Companies Fund,15475.77,,,,,,,15475.77,,
,Pendal Sustainable Australian Fixed Interest Fund,,,,239.4,,,,239.4,,
,Pendal Sustainable Australian Fixed Interest Fund - Class W,,,10953.5,76235.6,,,1350.54,88539.64,,
,Perpetual Australian Share Fund,,,103150.89,47317.42,,34532.61,69227.01,254227.93,,
,Perpetual Balanced Growth Fund,92798.19,,4330832.7,311148.87,,1078871.03,110268.81,5923919.6,,
